id,name,description,price
1,Quantum Widget,High-performance industrial widget,29.99
2,Eco-Sensor,Solar powered environment monitor,45.00
3,Nano-Link,Miniature connectivity bridge,12.50
4,Hyper-Drive,External high-speed data storage,89.99
5,Servo-Mech Arm,Robotic assembly unit basic,1200.00
6,Mega-Server,Enterprise rack unit,4599.99
7,Giga-Switch,Network backbone switch,250.50
8,Free-Sample,Promotional connectivity cable,0.00
9,Thermal-Paste,Industrial grade cooling compound,5.99
10,Logic-Gate,Educational FPGA board,75.00
11,Hydra-Pump,High-pressure fluid system,340.00
12,Ghost-Module,Prototype stealth unit,999.99